sentiment,entity,directional_word
positive,stock,acceler
positive,stock,advanc
positive,stock,award
positive,stock,better
positive,stock,climb
positive,stock,doubl
positive,stock,faster
positive,stock,gain
positive,stock,grow
positive,stock,higher
positive,stock,increas
positive,stock,jump
positive,stock,quicken
positive,stock,rebound
positive,stock,recov
positive,stock,rise
positive,stock,rose
positive,stock,step-up
positive,stock,surg
positive,stock,up
positive,look,acceler
positive,look,advanc
positive,look,award
positive,look,better
positive,look,climb
positive,look,doubl
positive,look,faster
positive,look,gain
positive,look,grow
positive,look,higher
positive,look,increas
positive,look,jump
positive,look,quicken
positive,look,rebound
positive,look,recov
positive,look,rise
positive,look,rose
positive,look,step-up
positive,look,surg
positive,look,up
positive,weekend,acceler
positive,weekend,advanc
positive,weekend,award
positive,weekend,better
positive,weekend,climb
positive,weekend,doubl
positive,weekend,faster
positive,weekend,gain
positive,weekend,grow
positive,weekend,higher
positive,weekend,increas
positive,weekend,jump
positive,weekend,quicken
positive,weekend,rebound
positive,weekend,recov
positive,weekend,rise
positive,weekend,rose
positive,weekend,step-up
positive,weekend,surg
positive,weekend,up
positive,call,acceler
positive,call,advanc
positive,call,award
positive,call,better
positive,call,climb
positive,call,doubl
positive,call,faster
positive,call,gain
positive,call,grow
positive,call,higher
positive,call,increas
positive,call,jump
positive,call,quicken
positive,call,rebound
positive,call,recov
positive,call,rise
positive,call,rose
positive,call,step-up
positive,call,surg
positive,call,up
positive,afternoon,acceler
positive,afternoon,advanc
positive,afternoon,award
positive,afternoon,better
positive,afternoon,climb
positive,afternoon,doubl
positive,afternoon,faster
positive,afternoon,gain
positive,afternoon,grow
positive,afternoon,higher
positive,afternoon,increas
positive,afternoon,jump
positive,afternoon,quicken
positive,afternoon,rebound
positive,afternoon,recov
positive,afternoon,rise
positive,afternoon,rose
positive,afternoon,step-up
positive,afternoon,surg
positive,afternoon,up
positive,earnings,acceler
positive,earnings,advanc
positive,earnings,award
positive,earnings,better
positive,earnings,climb
positive,earnings,doubl
positive,earnings,faster
positive,earnings,gain
positive,earnings,grow
positive,earnings,higher
positive,earnings,increas
positive,earnings,jump
positive,earnings,quicken
positive,earnings,rebound
positive,earnings,recov
positive,earnings,rise
positive,earnings,rose
positive,earnings,step-up
positive,earnings,surg
positive,earnings,up
positive,market,acceler
positive,market,advanc
positive,market,award
positive,market,better
positive,market,climb
positive,market,doubl
positive,market,faster
positive,market,gain
positive,market,grow
positive,market,higher
positive,market,increas
positive,market,jump
positive,market,quicken
positive,market,rebound
positive,market,recov
positive,market,rise
positive,market,rose
positive,market,step-up
positive,market,surg
positive,market,up
positive,dont,acceler
positive,dont,advanc
positive,dont,award
positive,dont,better
positive,dont,climb
positive,dont,doubl
positive,dont,faster
positive,dont,gain
positive,dont,grow
positive,dont,higher
positive,dont,increas
positive,dont,jump
positive,dont,quicken
positive,dont,rebound
positive,dont,recov
positive,dont,rise
positive,dont,rose
positive,dont,step-up
positive,dont,surg
positive,dont,up
positive,longs,acceler
positive,longs,advanc
positive,longs,award
positive,longs,better
positive,longs,climb
positive,longs,doubl
positive,longs,faster
positive,longs,gain
positive,longs,grow
positive,longs,higher
positive,longs,increas
positive,longs,jump
positive,longs,quicken
positive,longs,rebound
positive,longs,recov
positive,longs,rise
positive,longs,rose
positive,longs,step-up
positive,longs,surg
positive,longs,up
positive,watch,acceler
positive,watch,advanc
positive,watch,award
positive,watch,better
positive,watch,climb
positive,watch,doubl
positive,watch,faster
positive,watch,gain
positive,watch,grow
positive,watch,higher
positive,watch,increas
positive,watch,jump
positive,watch,quicken
positive,watch,rebound
positive,watch,recov
positive,watch,rise
positive,watch,rose
positive,watch,step-up
positive,watch,surg
positive,watch,up
positive,chart,acceler
positive,chart,advanc
positive,chart,award
positive,chart,better
positive,chart,climb
positive,chart,doubl
positive,chart,faster
positive,chart,gain
positive,chart,grow
positive,chart,higher
positive,chart,increas
positive,chart,jump
positive,chart,quicken
positive,chart,rebound
positive,chart,recov
positive,chart,rise
positive,chart,rose
positive,chart,step-up
positive,chart,surg
positive,chart,up
positive,share,acceler
positive,share,advanc
positive,share,award
positive,share,better
positive,share,climb
positive,share,doubl
positive,share,faster
positive,share,gain
positive,share,grow
positive,share,higher
positive,share,increas
positive,share,jump
positive,share,quicken
positive,share,rebound
positive,share,recov
positive,share,rise
positive,share,rose
positive,share,step-up
positive,share,surg
positive,share,up
positive,oil,acceler
positive,oil,advanc
positive,oil,award
positive,oil,better
positive,oil,climb
positive,oil,doubl
positive,oil,faster
positive,oil,gain
positive,oil,grow
positive,oil,higher
positive,oil,increas
positive,oil,jump
positive,oil,quicken
positive,oil,rebound
positive,oil,recov
positive,oil,rise
positive,oil,rose
positive,oil,step-up
positive,oil,surg
positive,oil,up
positive,year,acceler
positive,year,advanc
positive,year,award
positive,year,better
positive,year,climb
positive,year,doubl
positive,year,faster
positive,year,gain
positive,year,grow
positive,year,higher
positive,year,increas
positive,year,jump
positive,year,quicken
positive,year,rebound
positive,year,recov
positive,year,rise
positive,year,rose
positive,year,step-up
positive,year,surg
positive,year,up
positive,week,acceler
positive,week,advanc
positive,week,award
positive,week,better
positive,week,climb
positive,week,doubl
positive,week,faster
positive,week,gain
positive,week,grow
positive,week,higher
positive,week,increas
positive,week,jump
positive,week,quicken
positive,week,rebound
positive,week,recov
positive,week,rise
positive,week,rose
positive,week,step-up
positive,week,surg
positive,week,up
positive,time,acceler
positive,time,advanc
positive,time,award
positive,time,better
positive,time,climb
positive,time,doubl
positive,time,faster
positive,time,gain
positive,time,grow
positive,time,higher
positive,time,increas
positive,time,jump
positive,time,quicken
positive,time,rebound
positive,time,recov
positive,time,rise
positive,time,rose
positive,time,step-up
positive,time,surg
positive,time,up
positive,support,acceler
positive,support,advanc
positive,support,award
positive,support,better
positive,support,climb
positive,support,doubl
positive,support,faster
positive,support,gain
positive,support,grow
positive,support,higher
positive,support,increas
positive,support,jump
positive,support,quicken
positive,support,rebound
positive,support,recov
positive,support,rise
positive,support,rose
positive,support,step-up
positive,support,surg
positive,support,up
positive,trade,acceler
positive,trade,advanc
positive,trade,award
positive,trade,better
positive,trade,climb
positive,trade,doubl
positive,trade,faster
positive,trade,gain
positive,trade,grow
positive,trade,higher
positive,trade,increas
positive,trade,jump
positive,trade,quicken
positive,trade,rebound
positive,trade,recov
positive,trade,rise
positive,trade,rose
positive,trade,step-up
positive,trade,surg
positive,trade,up
positive,deal,acceler
positive,deal,advanc
positive,deal,award
positive,deal,better
positive,deal,climb
positive,deal,doubl
positive,deal,faster
positive,deal,gain
positive,deal,grow
positive,deal,higher
positive,deal,increas
positive,deal,jump
positive,deal,quicken
positive,deal,rebound
positive,deal,recov
positive,deal,rise
positive,deal,rose
positive,deal,step-up
positive,deal,surg
positive,deal,up
positive,intel,acceler
positive,intel,advanc
positive,intel,award
positive,intel,better
positive,intel,climb
positive,intel,doubl
positive,intel,faster
positive,intel,gain
positive,intel,grow
positive,intel,higher
positive,intel,increas
positive,intel,jump
positive,intel,quicken
positive,intel,rebound
positive,intel,recov
positive,intel,rise
positive,intel,rose
positive,intel,step-up
positive,intel,surg
positive,intel,up
positive,point,acceler
positive,point,advanc
positive,point,award
positive,point,better
positive,point,climb
positive,point,doubl
positive,point,faster
positive,point,gain
positive,point,grow
positive,point,higher
positive,point,increas
positive,point,jump
positive,point,quicken
positive,point,rebound
positive,point,recov
positive,point,rise
positive,point,rose
positive,point,step-up
positive,point,surg
positive,point,up
positive,price,acceler
positive,price,advanc
positive,price,award
positive,price,better
positive,price,climb
positive,price,doubl
positive,price,faster
positive,price,gain
positive,price,grow
positive,price,higher
positive,price,increas
positive,price,jump
positive,price,quicken
positive,price,rebound
positive,price,recov
positive,price,rise
positive,price,rose
positive,price,step-up
positive,price,surg
positive,price,up
positive,google,constrain
positive,google,deceler
positive,google,declin
positive,google,decreas
positive,google,down
positive,google,drop
positive,google,fall
positive,google,fell
positive,google,slower
positive,google,weaken
positive,google,weaker
positive,sale,constrain
positive,sale,deceler
positive,sale,declin
positive,sale,decreas
positive,sale,down
positive,sale,drop
positive,sale,fall
positive,sale,fell
positive,sale,slower
positive,sale,weaken
positive,sale,weaker
positive,day,constrain
positive,day,deceler
positive,day,declin
positive,day,decreas
positive,day,down
positive,day,drop
positive,day,fall
positive,day,fell
positive,day,slower
positive,day,weaken
positive,day,weaker
positive,china,constrain
positive,china,deceler
positive,china,declin
positive,china,decreas
positive,china,down
positive,china,drop
positive,china,fall
positive,china,fell
positive,china,slower
positive,china,weaken
positive,china,weaker
positive,gap,constrain
positive,gap,deceler
positive,gap,declin
positive,gap,decreas
positive,gap,down
positive,gap,drop
positive,gap,fall
positive,gap,fell
positive,gap,slower
positive,gap,weaken
