direction_dependency,entity,score
proportional,bitcoin,1.0677330410969945
inversely_proportional,trap,-1.2311937536460125
proportional,future,1.0628168738467882
proportional,gg,1.0172277460267751
inversely_proportional,money,-1.1773309533814957
inversely_proportional,oil,-1.59777581891894
proportional,baby,1.1335951411091212
inversely_proportional,number,-1.3512935775544717
proportional,liftoff,1.1807107766382212
inversely_proportional,cost,-1.4931983345364062
inversely_proportional,guy,-1.0217762880578272
inversely_proportional,china,-1.405488538571651
proportional,spx,1.1504361413398054
proportional,low,1.0217498446213915
proportional,sector,1.0433913354039746
proportional,funding,1.1953597937181
proportional,short,1.0170971815618763
inversely_proportional,goodbye,-1.7333062526117722
proportional,morning,1.0594234123553783
proportional,train,1.1702620087033697
proportional,exchange,1.0894735651416299
proportional,miss,1.1336884707491923
inversely_proportional,po,-1.2163028358844676
proportional,push,1.1264980576154764
proportional,nikkei,1.0226099034131604
proportional,tomorrow,1.045240034941147
proportional,ceo,1.0918506308704383
proportional,podcast,1.0898868707429734
inversely_proportional,wtf,-1.6096959660709327
proportional,perfect,1.1334823455726923
proportional,age,1.064832000151181
proportional,eco,1.3623585884287168
proportional,town,1.108051651922023
inversely_proportional,ppi,-1.2024812127494169
proportional,algo,1.183640580054197
proportional,till,1.100794129649562
proportional,technical,1.0051178919074089
inversely_proportional,jpow,-1.5778589458299228
proportional,gap,1.1160126075812264
proportional,track,1.0671808942691614
inversely_proportional,vix,-1.70474207304067
proportional,qa,1.2109854119366372
proportional,cap,1.1340476029448767
inversely_proportional,cpi,-1.6687494381012318
proportional,time,1.0060107843770396
inversely_proportional,ear,-1.8323523241895878
proportional,beginning,1.1245966436965713
proportional,limit,1.1403288528002407
proportional,moon,1.0658199682344536
proportional,signal,1.0459211583350827
inversely_proportional,food,-1.805527346470596
proportional,chart,1.1040791422738847
inversely_proportional,bulltards,-2.2904404052369847
proportional,glimpse,1.4531824943239646
inversely_proportional,wheres,-1.5621978148539435
proportional,congrats,1.1006778298592406
proportional,ripper,1.0898868707429734
inversely_proportional,war,-1.4010892208611825
inversely_proportional,inflation,-1.6639923962772265
proportional,tmr,1.010909561268845
proportional,watch,1.0656671625042407
proportional,robinhood,1.1085174155419986
proportional,ticker,1.0808044801534487
proportional,back,1.0362858770998764
inversely_proportional,futes,-1.0549455156368392
proportional,alongside,1.037987495945689
proportional,tommorow,1.261974271386601
proportional,station,1.2206732952321302
proportional,momentum,1.0956274336438017
proportional,swing,1.0702138225346165
inversely_proportional,fraud,-1.4626672061513375
proportional,amazon,1.0086015485718842
inversely_proportional,wen,-1.8797407463669047
proportional,theyll,1.0091545099471977
proportional,release,1.0928893139130642
proportional,leg,1.3296397623906122
proportional,monster,1.1239458354536913
proportional,confident,1.3677011711284373
proportional,shitter,1.1417862455402579
proportional,analyst,1.0035184772123982
proportional,super,1.167978453381878
proportional,regardless,1.0503200206499943
proportional,get,1.021705339146541
proportional,thankful,1.291717772732413
proportional,tonight,1.1125440171598524
proportional,pattern,1.0228551042052507
proportional,cc,1.3623585884287168
proportional,share,1.0715954566974548
proportional,ema,1.1911331920688235
proportional,farm,1.1559406204849718
proportional,covering,1.1302530511408613
inversely_proportional,market,-1.235490500942538
inversely_proportional,psaki,-2.565293253865423
inversely_proportional,top,-1.4315252532731153
proportional,reversal,1.0848332994721406
inversely_proportional,put,-1.6839778828440473
proportional,closing,1.0764314772770107
proportional,resolution,1.037987495945689
proportional,let,1.1066842610575702
proportional,high,1.0481442305242532
proportional,consolidation,1.242391187454994
proportional,hold,1.0644330372436683
proportional,revenue,1.1223767232583466
inversely_proportional,print,-1.6165587653490785
proportional,pullback,1.0026959210835356
proportional,follow,1.2296159567356624
proportional,contract,1.1556352200568385
inversely_proportional,coincidence,-1.2024812127494169
inversely_proportional,nickel,-1.503101515936771
proportional,splash,1.2109854119366372
inversely_proportional,reason,-1.445029220927392
proportional,stop,1.0643026718992417
proportional,rare,1.2109854119366372
proportional,profit,1.0188980707328947
proportional,play,1.08524114665626
inversely_proportional,paycheck,-1.2566470331435349
inversely_proportional,putin,-1.4363344086592513
proportional,keep,1.0202284178439633
proportional,metaverse,1.1160441556408047
inversely_proportional,bull,-1.4314880627491076
proportional,confidence,1.0053995164218128
proportional,mastercard,1.2455849951348268
proportional,exhaustion,1.0172277460267751
proportional,dip,1.0753705298966365
inversely_proportional,mm,-1.5132347845835359
inversely_proportional,hell,-1.1766768948792579
proportional,jan,1.0452716187242552
inversely_proportional,stupidity,-1.3742642431421908
proportional,bandwagon,1.2296159567356624
proportional,bro,1.0619410535444356
proportional,tuesday,1.0636696607938299
proportional,happens,1.0233679537492708
proportional,hour,1.0402310798530097
proportional,digit,1.135763792492109
inversely_proportional,sucker,-1.394181116231208
inversely_proportional,dump,-1.341741373339732
proportional,target,1.1523101315717243
proportional,extension,1.109702995665573
proportional,launch,1.2793568371081794
proportional,daddy,1.1372732564274506
proportional,th,1.0461870381039673
inversely_proportional,history,-1.1679050756416063
proportional,elliott,1.278800595005089
proportional,reuters,1.0898868707429734
proportional,dax,1.1807107766382212
proportional,feeling,1.021953542756284
inversely_proportional,chernobyl,-2.805789496415306
proportional,tute,1.2455849951348268
proportional,nonsense,1.0226099034131604
proportional,oi,1.1807107766382212
proportional,volume,1.0054754357389177
proportional,run,1.1023817883612683
