direction_dependency,entity,score
proportional,stock,1.1248538391581135
inversely_proportional,google,-2.1272727272727274
proportional,look,1.3072625698324023
inversely_proportional,sale,-2.1272727272727274
proportional,weekend,1.089385474860335
proportional,call,1.0458100558659218
proportional,afternoon,1.3072625698324023
proportional,earnings,1.120510774142059
proportional,market,1.0271348762968875
inversely_proportional,day,-1.6714285714285715
proportional,dont,1.3072625698324023
proportional,longs,1.3072625698324023
proportional,watch,1.143854748603352
proportional,chart,1.3072625698324023
proportional,share,1.1620111731843576
proportional,oil,1.3072625698324023
proportional,year,1.1983240223463687
proportional,week,1.120510774142059
proportional,time,1.0458100558659218
inversely_proportional,china,-2.8363636363636364
inversely_proportional,gap,-1.7518716577540108
proportional,support,1.3072625698324023
proportional,trade,1.1620111731843576
proportional,deal,1.3072625698324023
proportional,intel,1.3072625698324023
proportional,point,1.3072625698324023
inversely_proportional,metal,-2.659090909090909
inversely_proportional,starbucks,-2.1272727272727274
inversely_proportional,today,-1.3435406698564594
proportional,price,1.143854748603352
