username,userdesc,userurl,userpic,userlocation,userfollowing,userfollowers,usertotaltweets,usercreatedts,tweetid,tweetcreatedts,tweetretweetcount,tweetfavcount,tweeturls,tweethashtags,tweetmentions,tweettext,tweettextcleaned,sentic_polarity,sentic_concept
dahai31797727,,,https://pbs.twimg.com/profile_images/1486200934698999808/cSfaUfL1_normal.jpg,,114,32,1517,2022-01-26 04:54:04,1499682555091632128,2022-03-04 09:45:58,894,0,['https://t.co/JJjGVjci2F'],,,"Inflation at an all time high, interest at an all time low. Fiscal policy, monetary policy, foreign policy, domestic policy, energy policy, labor policy, trade policy, manufacturing policy, and healthcare policy are all inflationary. #Bitcoin is hope. 
https://t.co/JJjGVjci2F","Inflation at an all time high, interest at an all time low. Fiscal policy, monetary policy, foreign policy, domestic policy, energy policy, labor policy, trade policy, manufacturing policy, and healthcare policy are all inflationary. Bitcoin is hope.",POSITIVE,"['trade policy', 'fiscal policy', 'monetary policy', 'inflation', 'time', 'interest', 'low', 'policy', 'domestic', 'energy', 'healthcare', 'inflationary', 'hope']"
PriceVPartners,Over 30 years experience looking after investment portfolios for private clients seeking to preserve capital and generate meaningful returns.,https://t.co/tTJuk8lAYS,https://pbs.twimg.com/profile_images/1413526639095463937/KgHMeYVr_normal.jpg,London,1056,585,2794,2021-05-12 14:09:17,1499682436405501952,2022-03-04 09:45:30,0,0,"['https://t.co/kduJa2itLN', 'https://t.co/bCd2YZ2N2z']",,,"Rather than maintain a narrow focus on managing the money supply, the #Fed is now figuratively all over the shop, its fingerprints evident everywhere across the economy. 
READ: Escape from Jekyll Island https://t.co/kduJa2itLN #FederalReserve #inflation #fintwit https://t.co/bCd2YZ2N2z","Rather than maintain a narrow focus on managing the money supply, the Fed is now figuratively all over the shop, its fingerprints evident everywhere across the economy. READ Escape from Jekyll Island FederalReserve inflation fintwit",POSITIVE,"['shop', 'focus on', 'maintain', 'narrow', 'money', 'supply', 'figuratively', 'fingerprint', 'evident', 'everywhere', 'economy', 'escape', 'inflation']"
eokideoki,hi kay's here! @treasuremembers¹²,,https://pbs.twimg.com/profile_images/1497861010606100483/byEFbRav_normal.jpg,,2346,442,9960,2021-01-15 09:27:39,1499682433574207490,2022-03-04 09:45:29,3224,0,"['https://t.co/GX1UQlDb5s', 'https://t.co/dMUTwQ0ffd']",,,"❓FED rate hike
❗️Gold rise
‼️Commodities soar
🚫Not-so-transitory inflation❌ And worst of all: WAR! Things are volatile. But your investment portfolio doesn't have to be! 
https://t.co/GX1UQlDb5s - The unique digital asset that brings you the best of both worlds: Gold &amp; Crypto. https://t.co/dMUTwQ0ffd",FED rate hike Gold rise Commodities soar Not-so-transitory inflation And worst of all WAR! Things are volatile. But your investment portfolio doesn't have to be! - The unique digital asset that brings you the best of both worlds Gold &amp; Crypto.,POSITIVE,"['investment portfolio', 'digital asset', 'worst of', 'rate', 'hike', 'gold', 'rise', 'soar', NOT 'transitory', 'inflation', 'war', 'volatile', 'unique', 'brings', 'best']"
qthomp,head of growth @maplefinance 🥞 | good vibes maximalist 🌴🐈,https://t.co/PjweSDfroZ,https://pbs.twimg.com/profile_images/1496938155097874438/N9SAmWr4_normal.jpg,"Miami, FL",547,361,259,2018-12-10 01:39:34,1499681769150464002,2022-03-04 09:42:51,0,0,['https://t.co/hn13ay3Fu1'],,,"Every day that inflation remains elevated the Fed gets put in an even more difficult place - that much closer to a policy error. Hike rates into a slowing economy - ouch, don’t hike rates - inflation continues to crush the middle class. https://t.co/hn13ay3Fu1","Every day that inflation remains elevated the Fed gets put in an even more difficult place - that much closer to a policy error. Hike rates into a slowing economy - ouch, dont hike rates - inflation continues to crush the middle class.",NEGATIVE,"['place', 'middle class', 'slowing economy', 'inflation', 'remain', 'difficult', 'closer', 'policy', 'error', NOT 'hike', 'rate', 'ouch', 'continue', 'crush']"
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,3,207,2022-02-16 23:03:08,1499681625973604355,2022-03-04 09:42:17,146,0,,,,"Fed Chair #Powell just reassured Congress that #inflation would continue to decline throughout the year.  What does he mean by continue? Inflation is not declining now, it's actually accelerating. Based on that acceleration it looks like the inflation rate will increase in 2022!","Fed Chair Powell just reassured Congress that inflation would continue to decline throughout the year. What does he mean by continue? Inflation is not declining now, it's actually accelerating. Based on that acceleration it looks like the inflation rate will increase in 2022!",NEGATIVE,"['inflation rate', 'reassured', 'inflation', 'continue', 'decline', 'acceleration', 'increase']"
bit_DayTrade,,,https://pbs.twimg.com/profile_images/1497182553001844737/PKq3Cdk7_normal.jpg,,430,29,703,2018-02-18 17:15:01,1499681545304563714,2022-03-04 09:41:57,62,0,['https://t.co/VkvfeIwDT6'],,,"'Shelby: Volcker put the economy in a recession to get inflation under control. ""Are you prepared to do what it takes to get inflation under control?""

Powell: ""I hope history will record that the answer to your question is yes.""'

👀 will the fed force a recession? I believe so https://t.co/VkvfeIwDT6","'Shelby Volcker put the economy in a recession to get inflation under control. ""Are you prepared to do what it takes to get inflation under control?"" Powell ""I hope history will record that the answer to your question is yes.""' will the fed force a recession? I believe so",POSITIVE,"['economy', 'recession', 'inflation', NOT 'control', 'prepared', 'hope', 'record', 'answer', 'yes', 'force', 'believe']"
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,3,207,2022-02-16 23:03:08,1499681529831829505,2022-03-04 09:41:54,40,0,,,,"When asked how the #Fed will fight historically high #inflation without harming the economy or causing a recession, #Powell said The Fed will raise interest rates and reduce its balance sheet, but do so with care. That means the Fed will cease doing both once the harm is obvious!","When asked how the Fed will fight historically high inflation without harming the economy or causing a recession, Powell said The Fed will raise interest rates and reduce its balance sheet, but do so with care. That means the Fed will cease doing both once the harm is obvious!",NEGATIVE,"['interest rate', 'balance sheet', 'fight', 'historically', 'inflation', NOT 'harm', 'economy', 'causing', 'recession', 'raise', 'reduce', 'care', 'cease', 'obvious']"
DavidoHarryj,♥️♥️💕,,https://pbs.twimg.com/profile_images/1494086760703348736/Gnjn4qWU_normal.jpg,"Michigan, USA",26,3,207,2022-02-16 23:03:08,1499681484113854464,2022-03-04 09:41:43,46,0,,,,"#Powell admitted price rises will be permanent. The Fed's only goal is to eventually bring future price increases back down to 2% per year. If #Fed policy is still for #inflation to average 2% over time, it must hold inflation well below 2% for a many years to achieve that goal.","Powell admitted price rises will be permanent. The Fed's only goal is to eventually bring future price increases back down to 2% per year. If Fed policy is still for inflation to average 2% over time, it must hold inflation well below 2% for a many years to achieve that goal.",POSITIVE,"['price', 'achieve goal', 'admitted', 'rises', 'permanent', 'goal', 'eventually', 'policy', 'inflation', 'average', NOT 'time', 'hold']"
UnCommonC1t1zen,"Observer, Historian & Author. Disclaimer: Not for the psychologically impaired. Apologies, but I’m not the midwit whisperer. https://t.co/jfGAwgBcDf",https://t.co/tJpfcmwTJ1,https://pbs.twimg.com/profile_images/1443008524951359494/BljiK58s_normal.jpg,Rent-Free in your head.,4122,4134,156272,2016-10-12 23:38:31,1499681469480026123,2022-03-04 09:41:39,196,0,,,,"*FED MESTER: THERE'S A LIKELIHOOD THAT A SUBSTANTIAL INCREASE IN ENERGY PRICES, AS WELL AS SUPPLY CHAIN ISSUES, WILL PERSIST FOR A LONGER PERIOD OF TIME, INCREASING THE RISK OF HIGH INFLATION BECOMING ENTRENCHED IN THE US.

Ten months of Doomberg in one headline","*FED MESTER THERE'S A LIKELIHOOD THAT A SUBSTANTIAL INCREASE IN ENERGY PRICES, AS WELL AS SUPPLY CHAIN ISSUES, WILL PERSIST FOR A LONGER PERIOD OF TIME, INCREASING THE RISK OF HIGH INFLATION BECOMING ENTRENCHED IN THE US. Ten months of Doomberg in one headline",POSITIVE,"['likelihood', 'increase', 'energy', 'supply', 'chain', 'issues', 'persist', 'longer', 'time', 'risk', 'inflation']"
JohnDoss1,"Life Science Investor, Long Distance Runner, and Full Time Father.  My tweets are not investment advice.  You need to do your own work...",,https://pbs.twimg.com/profile_images/461844395495800833/ou7L__dl_normal.jpeg,,899,1628,8752,2012-06-19 18:05:44,1499681350235963394,2022-03-04 09:41:11,0,0,,,,$SPY $QQQ I will keep it simple.  We’re in a downtrend on $QQQ $SPY $DIA.  Raise cash to weather the storm.  Pressure will build to close the sanction loopholes: Russian oil and gas and cryptocurrency.  Pressure will build on the Fed to fight inflation: QT and higher rates.,$SPY $QQQ I will keep it simple. Were in a downtrend on $QQQ $SPY $DIA. Raise cash to weather the storm. Pressure will build to close the sanction loopholes Russian oil and gas and cryptocurrency. Pressure will build on the Fed to fight inflation QT and higher rates.,POSITIVE,"['raise cash', 'spy', 'simple', 'weather', 'storm', 'pressure', 'build', 'close', 'sanction', 'loophole', 'oil', 'gas', 'fight', 'inflation', 'rate']"
